Date	Price	Open	High	Low
"Dec 24, 2014"	"1,173.80"	"1,175.20"	"1,181.80"	"1,172.55"
"Dec 23, 2014"	"1,175.68"	"1,174.55"	"1,185.49"	"1,172.10"
"Dec 22, 2014"	"1,175.05"	"1,194.94"	"1,202.18"	"1,170.17"
"Dec 19, 2014"	"1,195.95"	"1,197.95"	"1,202.10"	"1,193.30"
"Dec 18, 2014"	"1,198.40"	"1,187.95"	"1,213.55"	"1,187.90"
"Dec 17, 2014"	"1,188.70"	"1,196.19"	"1,203.40"	"1,183.73"
"Dec 16, 2014"	"1,196.60"	"1,192.20"	"1,221.79"	"1,188.41"
"Dec 15, 2014"	"1,192.60"	"1,221.87"	"1,224.24"	"1,190.59"
"Dec 12, 2014"	"1,222.60"	"1,227.61"	"1,228.38"	"1,215.60"
"Dec 11, 2014"	"1,227.95"	"1,226.35"	"1,233.20"	"1,215.90"
"Dec 10, 2014"	"1,226.75"	"1,230.38"	"1,238.25"	"1,224.73"
"Dec 09, 2014"	"1,230.85"	"1,203.19"	"1,238.55"	"1,199.00"
"Dec 08, 2014"	"1,203.20"	"1,192.69"	"1,208.59"	"1,186.91"
"Dec 05, 2014"	"1,192.05"	"1,205.30"	"1,208.20"	"1,186.10"
"Dec 04, 2014"	"1,205.78"	"1,209.25"	"1,213.70"	"1,201.07"
"Dec 03, 2014"	"1,209.64"	"1,198.56"	"1,214.95"	"1,194.20"
"Dec 02, 2014"	"1,199.01"	"1,210.29"	"1,213.05"	"1,191.86"
"Dec 01, 2014"	"1,210.90"	"1,166.59"	"1,221.46"	"1,142.91"
"Nov 28, 2014"	"1,167.35"	"1,190.39"	"1,191.56"	"1,165.04"
"Nov 27, 2014"	"1,191.75"	"1,197.70"	"1,200.10"	"1,185.45"
"Nov 26, 2014"	"1,197.90"	"1,200.65"	"1,202.61"	"1,194.71"
"Nov 25, 2014"	"1,201.19"	"1,197.05"	"1,203.40"	"1,190.30"
"Nov 24, 2014"	"1,197.40"	"1,201.23"	"1,204.24"	"1,192.55"
"Nov 21, 2014"	"1,201.40"	"1,193.47"	"1,208.01"	"1,186.64"
"Nov 20, 2014"	"1,193.75"	"1,183.05"	"1,197.31"	"1,176.56"
"Nov 19, 2014"	"1,183.30"	"1,197.10"	"1,202.77"	"1,175.50"
"Nov 18, 2014"	"1,197.55"	"1,186.12"	"1,205.00"	"1,183.00"
"Nov 17, 2014"	"1,186.55"	"1,188.44"	"1,194.26"	"1,181.31"
"Nov 14, 2014"	"1,188.25"	"1,161.69"	"1,193.74"	"1,146.64"
"Nov 13, 2014"	"1,161.96"	"1,160.45"	"1,168.12"	"1,153.86"
"Nov 12, 2014"	"1,160.92"	"1,164.20"	"1,170.37"	"1,157.04"
"Nov 11, 2014"	"1,164.80"	"1,150.25"	"1,173.60"	"1,145.92"
"Nov 10, 2014"	"1,150.60"	"1,178.94"	"1,179.41"	"1,146.98"
"Nov 07, 2014"	"1,176.65"	"1,140.80"	"1,178.99"	"1,131.85"
"Nov 06, 2014"	"1,141.20"	"1,141.15"	"1,149.70"	"1,137.80"
"Nov 05, 2014"	"1,141.40"	"1,167.89"	"1,169.85"	"1,137.40"
"Nov 04, 2014"	"1,168.30"	"1,165.15"	"1,174.30"	"1,163.60"
"Nov 03, 2014"	"1,165.35"	"1,173.29"	"1,174.17"	"1,161.70"
"Oct 31, 2014"	"1,174.42"	"1,198.41"	"1,203.30"	"1,161.25"
"Oct 30, 2014"	"1,198.90"	"1,211.24"	"1,216.76"	"1,195.70"
"Oct 29, 2014"	"1,211.80"	"1,227.95"	"1,230.86"	"1,208.26"
"Oct 28, 2014"	"1,228.40"	"1,225.06"	"1,235.81"	"1,222.20"
"Oct 27, 2014"	"1,225.40"	"1,231.24"	"1,232.26"	"1,224.80"
"Oct 24, 2014"	"1,231.46"	"1,232.09"	"1,234.70"	"1,228.60"
"Oct 23, 2014"	"1,232.15"	"1,240.59"	"1,244.96"	"1,226.17"
"Oct 22, 2014"	"1,241.03"	"1,249.09"	"1,250.08"	"1,240.18"
"Oct 21, 2014"	"1,249.30"	"1,246.59"	"1,255.60"	"1,245.00"
"Oct 20, 2014"	"1,246.60"	"1,238.04"	"1,248.94"	"1,234.20"
"Oct 17, 2014"	"1,238.19"	"1,239.19"	"1,242.30"	"1,231.49"
"Oct 16, 2014"	"1,239.10"	"1,241.27"	"1,245.60"	"1,235.35"
"Oct 15, 2014"	"1,241.07"	"1,233.15"	"1,249.80"	"1,221.67"
"Oct 14, 2014"	"1,232.75"	"1,236.68"	"1,238.30"	"1,230.85"
"Oct 13, 2014"	"1,237.15"	"1,223.19"	"1,237.65"	"1,222.99"
"Oct 10, 2014"	"1,223.48"	"1,223.99"	"1,225.84"	"1,217.10"
"Oct 09, 2014"	"1,224.15"	"1,221.44"	"1,233.60"	"1,218.75"
"Oct 08, 2014"	"1,221.70"	"1,208.89"	"1,223.84"	"1,204.62"
"Oct 07, 2014"	"1,209.00"	"1,206.89"	"1,213.06"	"1,202.65"
"Oct 06, 2014"	"1,207.15"	"1,191.29"	"1,209.20"	"1,183.46"
"Oct 03, 2014"	"1,191.20"	"1,213.34"	"1,215.90"	"1,189.64"
"Oct 02, 2014"	"1,213.50"	"1,213.14"	"1,221.84"	"1,208.49"
"Oct 01, 2014"	"1,213.65"	"1,208.74"	"1,219.66"	"1,204.49"
"Sep 30, 2014"	"1,209.24"	"1,215.74"	"1,219.96"	"1,204.40"
"Sep 29, 2014"	"1,215.95"	"1,218.94"	"1,223.76"	"1,214.52"
"Sep 26, 2014"	"1,219.51"	"1,222.09"	"1,230.50"	"1,212.04"
"Sep 25, 2014"	"1,222.62"	"1,216.84"	"1,224.88"	"1,206.85"
"Sep 24, 2014"	"1,217.05"	"1,222.45"	"1,226.16"	"1,215.60"
"Sep 23, 2014"	"1,222.95"	"1,215.04"	"1,235.06"	"1,213.85"
"Sep 22, 2014"	"1,215.05"	"1,216.18"	"1,220.70"	"1,208.36"
"Sep 19, 2014"	"1,216.45"	"1,225.24"	"1,228.86"	"1,213.61"
"Sep 18, 2014"	"1,225.45"	"1,222.94"	"1,228.06"	"1,216.01"
"Sep 17, 2014"	"1,223.25"	"1,234.69"	"1,239.46"	"1,221.41"
"Sep 16, 2014"	"1,235.20"	"1,232.84"	"1,242.16"	"1,231.66"
"Sep 15, 2014"	"1,233.00"	"1,228.14"	"1,238.56"	"1,225.30"
"Sep 12, 2014"	"1,228.63"	"1,240.09"	"1,242.04"	"1,227.25"
"Sep 11, 2014"	"1,240.75"	"1,248.42"	"1,250.46"	"1,234.71"
"Sep 10, 2014"	"1,248.75"	"1,255.84"	"1,258.15"	"1,243.56"
"Sep 09, 2014"	"1,256.20"	"1,255.17"	"1,258.25"	"1,247.15"
"Sep 08, 2014"	"1,255.70"	"1,268.49"	"1,271.85"	"1,251.24"
"Sep 05, 2014"	"1,268.85"	"1,260.70"	"1,273.71"	"1,256.90"
"Sep 04, 2014"	"1,261.10"	"1,268.54"	"1,276.76"	"1,260.00"
"Sep 03, 2014"	"1,269.07"	"1,265.64"	"1,271.80"	"1,261.19"
"Sep 02, 2014"	"1,265.90"	"1,287.09"	"1,288.10"	"1,262.42"
"Sep 01, 2014"	"1,287.30"	"1,286.79"	"1,290.36"	"1,282.54"
"Aug 29, 2014"	"1,287.57"	"1,289.79"	"1,291.80"	"1,283.16"
"Aug 28, 2014"	"1,290.00"	"1,282.49"	"1,296.76"	"1,282.76"
"Aug 27, 2014"	"1,282.95"	"1,280.59"	"1,288.00"	"1,279.90"
"Aug 26, 2014"	"1,280.90"	"1,276.29"	"1,291.06"	"1,275.24"
"Aug 25, 2014"	"1,276.60"	"1,279.41"	"1,281.06"	"1,274.16"
"Aug 22, 2014"	"1,281.23"	"1,276.24"	"1,283.50"	"1,274.09"
"Aug 21, 2014"	"1,277.25"	"1,291.54"	"1,291.80"	"1,273.06"
"Aug 20, 2014"	"1,292.15"	"1,295.39"	"1,297.91"	"1,287.83"
"Aug 19, 2014"	"1,295.50"	"1,297.44"	"1,302.61"	"1,293.75"
"Aug 18, 2014"	"1,297.46"	"1,303.64"	"1,304.07"	"1,295.45"
"Aug 15, 2014"	"1,304.60"	"1,312.74"	"1,315.41"	"1,292.40"
"Aug 14, 2014"	"1,313.24"	"1,312.36"	"1,319.60"	"1,308.69"
"Aug 13, 2014"	"1,312.86"	"1,308.19"	"1,315.60"	"1,304.40"
"Aug 12, 2014"	"1,308.60"	"1,307.64"	"1,317.86"	"1,305.20"
"Aug 11, 2014"	"1,308.10"	"1,309.09"	"1,311.66"	"1,304.70"
"Aug 08, 2014"	"1,309.60"	"1,313.24"	"1,322.86"	"1,305.90"
"Aug 07, 2014"	"1,313.55"	"1,305.54"	"1,314.75"	"1,301.76"
"Aug 06, 2014"	"1,306.25"	"1,287.79"	"1,309.86"	"1,287.20"
"Aug 05, 2014"	"1,288.00"	"1,287.65"	"1,293.66"	"1,282.30"
"Aug 04, 2014"	"1,288.35"	"1,293.67"	"1,295.81"	"1,285.86"
"Aug 01, 2014"	"1,294.10"	"1,281.74"	"1,297.20"	"1,280.40"
"Jul 31, 2014"	"1,282.35"	"1,294.60"	"1,297.56"	"1,280.76"
"Jul 30, 2014"	"1,295.05"	"1,298.59"	"1,302.76"	"1,291.50"
"Jul 29, 2014"	"1,298.75"	"1,303.94"	"1,312.75"	"1,295.20"
